iter	Logloss
0	0.6515288678
1	0.6147190123
2	0.5817338748
3	0.5530057992
4	0.5275144075
5	0.5053049943
6	0.485576857
7	0.4681272007
8	0.4524436809
9	0.438948534
10	0.4267706847
11	0.415958151
12	0.4066353237
13	0.398380288
14	0.3906720801
15	0.3841386781
16	0.3781682606
17	0.3729459106
18	0.3684304034
19	0.3643737232
20	0.3605896045
21	0.3572182961
22	0.3543996395
23	0.3516964456
24	0.3492681434
25	0.3470970378
26	0.3451871898
27	0.3428322274
28	0.3409598738
29	0.3393168884
30	0.3382046781
31	0.3372096501
32	0.3359689068
33	0.3348556302
34	0.3338953068
35	0.3330080443
36	0.3322164323
37	0.3315678467
38	0.3309648698
39	0.330450139
40	0.3299468515
41	0.3294642436
42	0.328999045
43	0.3285789413
44	0.3282164682
45	0.3279299
46	0.327557698
47	0.3273100938
48	0.3270608668
49	0.3268423184
50	0.3266225183
51	0.3262212109
52	0.3260462938
53	0.3257486068
54	0.3255630388
55	0.3253907434
56	0.3252442387
57	0.3251091799
58	0.3249877196
59	0.3248794071
60	0.3247813837
61	0.3245207519
62	0.3244198699
63	0.3243384292
64	0.324268983
65	0.3242052547
66	0.3241470237
67	0.3239497024
68	0.3239031262
69	0.3237650801
70	0.3236587943
71	0.3236257258
72	0.3234546055
73	0.3234195255
74	0.3233887102
75	0.3232290669
76	0.3231253863
77	0.3230983751
78	0.3230839881
79	0.3230551628
80	0.3229887744
81	0.322961581
82	0.3229370739
83	0.3229159974
84	0.3227815257
85	0.3226581998
86	0.3226428498
87	0.3225927586
88	0.3225887959
89	0.3224778008
90	0.3224033992
91	0.3223912797
92	0.322380611
93	0.3223288833
94	0.3223156164
95	0.3222310996
96	0.3221621761
97	0.3220872828
98	0.3220158262
99	0.3219590516
100	0.321921264
101	0.3219123695
102	0.3219040746
103	0.3218970968
104	0.3218785621
105	0.3218365623
106	0.3217984932
107	0.3217490531
108	0.3216999006
109	0.3216919501
110	0.3216485067
111	0.3216395702
112	0.3216315247
113	0.3216207606
114	0.321585697
115	0.3215796257
116	0.3215687138
117	0.3215595896
118	0.3215273197
119	0.3215207018
120	0.3214864188
121	0.3214790173
122	0.3214707837
123	0.3214598421
124	0.3214275497
125	0.3214202058
126	0.3213933633
127	0.3213859467
128	0.3213625782
129	0.3213567609
130	0.3213353513
131	0.3213125093
132	0.3213089129
133	0.3212904254
134	0.3212735882
135	0.3212612919
136	0.3212519964
137	0.321229028
138	0.3212083441
139	0.321204687
140	0.321200436
141	0.3211809425
142	0.3211713029
143	0.3211666876
144	0.3211611988
145	0.3211503233
146	0.3211457714
147	0.3211350822
148	0.321123063
149	0.3211052827
150	0.3210895252
151	0.3210799844
152	0.3210671785
153	0.3210518575
154	0.321038353
155	0.3210257454
156	0.3210122144
157	0.3210074577
158	0.3210047796
159	0.3210006073
160	0.3209957044
161	0.3209851353
162	0.3209821441
163	0.3209684029
164	0.3209585301
165	0.3209512498
166	0.3209490116
167	0.3209298818
168	0.3209180364
169	0.3209029843
170	0.3208931321
171	0.3208824137
172	0.320870882
173	0.3208676562
174	0.3208532417
175	0.320847201
176	0.3208441501
177	0.3208418232
178	0.3208403419
179	0.3208281721
180	0.3208235205
181	0.3208187317
182	0.3208140137
183	0.320810051
184	0.3208038596
185	0.3207899328
186	0.3207731649
187	0.3207730867
188	0.3207681556
189	0.3207512844
190	0.3207400354
191	0.3207287859
192	0.3207152235
193	0.3206995065
194	0.3206988125
195	0.3206917627
196	0.3206820239
197	0.3206809175
198	0.3206741307
199	0.3206695413
