iter	Passed	Remaining
0	1892	376670
1	3082	305199
2	4583	301000
3	5951	291633
4	7284	284111
5	7827	253073
6	9052	249577
7	9746	233906
8	11138	236385
9	11805	224298
10	12796	219865
11	14278	223692
12	14857	213725
13	15299	203262
14	16405	202329
15	16926	194655
16	18238	196333
17	19125	193382
18	19705	187720
19	20212	181909
20	21204	180744
21	22196	179589
22	22677	174520
23	23936	175537
24	25465	178260
25	26696	178659
26	27904	178797
27	29503	181234
28	30641	180681
29	32095	181872
30	32799	178810
31	33423	175473
32	35060	177429
33	36299	177226
34	37823	178308
35	39365	179333
36	40727	179419
37	41335	176218
38	42478	175359
39	43034	172139
40	44536	172715
41	45936	172810
42	46923	171326
43	47872	169728
44	48672	167651
45	49218	164773
46	50209	163448
47	51030	161596
48	52085	160509
49	53564	160692
50	54598	159512
51	55914	159141
52	57127	158448
53	58530	158250
54	59759	157547
55	60587	155795
56	61220	153587
57	62213	152316
58	62844	150187
59	63452	148056
60	64218	146333
61	65620	146058
62	66581	144787
63	67677	143815
64	68536	142345
65	69963	142047
66	71233	141404
67	72916	141543
68	73807	140127
69	75053	139384
70	76329	138682
71	77418	137633
72	79104	137620
73	80490	137052
74	81776	136294
75	83399	136073
76	84886	135598
77	86094	134660
78	86757	132881
79	87831	131747
80	88912	130624
81	90135	129707
82	91632	129169
83	92642	127935
84	94101	127313
85	95380	126434
86	96435	125255
87	97694	124338
88	98629	123009
89	100100	122345
90	101430	121493
91	102810	120690
92	103937	119583
93	105610	119092
94	106936	118192
95	108571	117619
96	110343	117168
97	112150	116728
98	113746	116044
99	115447	115447
100	116991	114674
101	118488	113841
102	120304	113296
103	121490	112145
104	123526	111762
105	125855	111607
106	127750	111035
107	129610	110409
108	131877	110099
109	133064	108871
110	135108	108330
111	136823	107504
112	137865	106144
113	139358	105130
114	141271	104418
115	142928	103499
116	145008	102869
117	146521	101820
118	148720	101230
119	150332	100221
120	152211	99377
121	154188	98579
122	155394	97279
123	156660	96017
124	158087	94852
125	159325	93572
126	161946	93087
127	163608	92029
128	165438	91055
129	167038	89943
130	168861	88942
131	171169	88178
132	172499	86898
133	174460	85928
134	176539	85000
135	178249	83882
136	180830	83155
137	183728	82544
138	186117	81677
139	189061	81026
140	191005	79924
141	193818	79165
142	196376	78275
143	198791	77307
144	200534	76064
145	202470	74886
146	204255	73643
147	206106	72415
148	208341	71311
149	210117	70039
150	212221	68866
151	214363	67693
152	216491	66503
153	218152	65162
154	219983	63866
155	221745	62543
156	223561	61230
157	225117	59841
158	226368	58371
159	227661	56915
160	229175	55514
161	231145	54219
162	232751	52833
163	234491	51473
164	235881	50035
165	237756	48697
166	239282	47283
167	240963	45897
168	242883	44552
169	244722	43186
170	246582	41818
171	248421	40440
172	250195	39047
173	252856	37783
174	254807	36401
175	256989	35044
176	258680	33613
177	260396	32183
178	262097	30748
179	264154	29350
180	266119	27935
181	267743	26480
182	268960	24985
183	270443	23516
184	272780	22117
185	274885	20690
186	277540	19294
187	278687	17788
188	281449	16380
189	283586	14925
190	286188	13485
191	288545	12022
192	291110	10558
193	293616	9080
194	295909	7587
195	298676	6095
196	301463	4590
197	303166	3062
198	305320	1534
199	307478	0
